CustomerID,Customer Name,City,District,State,OMC,Class of Mkt,Latitude,Longitude,Fiscal Year,Month,MS Vol,HSD Vol
HPC41001998,MS/HSD SUNMAX FUELS,LAKSAR - RETAIL,UT-HARIDWAR,Uttaranchal,HPCL,D2,29.73,78.01,2024,July,27,21
HPC41002000,MS/HSD KRISHNA FILLING STATION HP,UTTARKASHI - RETAIL,UT-UTTARKASHI,Uttaranchal,HPCL,D1,30.75,78.47,2024,July,93,99
HPC41002002,MS /HSD KANDARI FILLING STATION HP,AGRAKHAL - RETAIL,UT-TEHRI-GARHWAL,Uttaranchal,HPCL,D1,30.21,78.33,2024,July,42,42
HPC41002005,MS/HSD KEMPTY FILLING STATION,KEMPTY - RETAIL,UT-TEHRI-GARHWAL,Uttaranchal,HPCL,D2,30.49,78.04,2024,July,42,42
HPC41002007,MS /HSD DOON FUELS HP,DEHRADUN - RETAIL,UT-DEHRADUN,Uttaranchal,HPCL,B,30.33,78.07,2024,July,141,99
HPC41002008,PUKHARAYAN H P,BHADOLI - RETAIL,UP-KANPUR DEHAT,Uttar Pradesh,HPCL,D1,26.25,79.86,2024,July,60,200
HPC41002009,M/S DEV FUELS,PITHORAGARH - RETAIL,UT-PITHORAGARH,Uttaranchal,HPCL,D1,29.58,80.21,2024,July,86,82
HPC41002010,M/s VIJETA FUELS,PUNJAPURA RETAIL - RETAIL,MP-DEWAS,Madhya Pradesh,HPCL,C,22.5,76.26,2024,July,30,22
HPC41002011,M/S SHIV FUELS,THAL - RETAIL,UT-PITHORAGARH,Uttaranchal,HPCL,D2,29.83,80.15,2024,July,9,27
HPC41002012,MSHSD SHREE NATH JI FILLING STATION,ALARI - RETAIL,MP-DEWAS,Madhya Pradesh,HPCL,D1,23.22,76.15,2024,July,31,63
HPC41002013,MS/HSD SHAHEED BISHAN SINGH FUELS,TALIBAZPUR - RETAIL,UT-UDHAM SINGH NGR,Uttaranchal,HPCL,D1,29.13,79.13,2024,July,40,260
HPC41002014,M/s MAA BIJASANI PETROLEUM,KHANDWA - RETAIL,MP-KHANDWA,Madhya Pradesh,HPCL,C,21.66,76.43,2024,July,24,0
HPC41002015,MS/HSD SRI RAM FILLING STATION HP,BAGWAN - RETAIL,UT-TEHRI-GARHWAL,Uttaranchal,HPCL,A,30.23,78.68,2024,July,69,75
HPC41002016,M/s AKANSHA PETROLEUM AND FUELS,TONK KALAN - RETAIL,MP-DEWAS,Madhya Pradesh,HPCL,D1,23.19,76.15,2024,July,9,19
HPC41002017,M/s ASKE FUEL STATION,KANNOD - RETAIL,MP-DEWAS,Madhya Pradesh,HPCL,D1,22.7,76.58,2024,July,21,43
